一级目录,二级目录,目录,说明,国标
1. 节能环保产业,1.7资源循环利用,1.7.3城乡生活垃圾综合利用,包括生活垃圾综合利用、餐厨废弃物资源化利用、城市污泥综合利用、建筑和交通废物循环利用、建筑垃圾综合利用、桥梁轨道拆除后垃圾综合利用等。装备、工艺、产品等需符合《生活垃圾综合处理与资源利用技术要求》（GB/T25810）、《餐饮业餐厨废弃物处理与利用设备》（GB/T28739）、《农用污泥污染物控制标准》（GB4284）、《城镇污水处理厂污泥泥质》（GB/T24188）、《城镇污水处理厂污染物排放标准》（GB18918）、《城镇污水处理厂污泥处置混合填埋用泥质》（GB/T23485）、《城镇污水处理厂污泥处置单独焚烧用泥质》（GB/T24602）、《城镇污水处理厂污泥处置土地改良用泥质》（GB/T24600）、《工程施工废弃物再生利用技术规范》（GB/T50743）等国家标准。,《生活垃圾综合处理与资源利用技术要求》（GB/T25810）&《餐饮业餐厨废弃物处理与利用设备》（GB/T28739）&《农用污泥污染物控制标准》（GB4284）&《城镇污水处理厂污泥泥质》（GB/T24188）&《城镇污水处理厂污染物排放标准》（GB18918）&《城镇污水处理厂污泥处置混合填埋用泥质》（GB/T23485）&《城镇污水处理厂污泥处置单独焚烧用泥质》（GB/T24602）&《城镇污水处理厂污泥处置土地改良用泥质》（GB/T24600）&《工程施工废弃物再生利用技术规范》（GB/T50743）
1. 节能环保产业,1.7资源循环利用,1.7.4汽车零部件及机电产品再制造,包含回收、分拣、拆解、再加工等设施建设运营。工艺、产品等需符合《汽车零部件再制造分类》（GB∕T28676）、《汽车零部件再制造拆解》（GB∕T28675）、《汽车零部件再制造产品技术规范起动机》（GB/T28673）、《汽车零部件再制造产品技术规范交流发电机》（GB∕T28672）、《再制造内燃机通用技术条件》（GB/T32222）等国家标准。,《汽车零部件再制造分类》（GB∕T28676）&《汽车零部件再制造拆解》（GB∕T28675）&《汽车零部件再制造产品技术规范起动机》（GB/T28673）&《汽车零部件再制造产品技术规范交流发电机》（GB∕T28672）&《再制造内燃机通用技术条件》（GB/T32222）
1. 节能环保产业,1.7资源循环利用,1.7.5海水、苦咸水淡化处理,包括海水、苦咸水淡化设施建设和运营。工艺、产品等需符合《海水淡化预处理膜系统设计规范》（GB/T31327）、《火力发电厂海水淡化工程设计规范》（GB∕T50619）、《海水淡化反渗透系统运行管理规范》（GB/T31328）等国家标准。,《海水淡化预处理膜系统设计规范》（GB/T31327）&《火力发电厂海水淡化工程设计规范》（GB∕T50619）&《海水淡化反渗透系统运行管理规范》（GB/T31328）
1. 节能环保产业,1.7资源循环利用,1.7.6雨水的收集、处理、利用,包括雨水的收集处理利用设施建设和运营。工艺、产品等需符合《雨水集蓄利用工程技术规范》（GB/T50596）、《建筑与小区雨水控制及利用工程技术规范》（GB50400）、《城镇雨水调蓄工程技术规范》（GB51174）等国家标准。,《雨水集蓄利用工程技术规范》（GB/T50596）&《建筑与小区雨水控制及利用工程技术规范》（GB50400）&《城镇雨水调蓄工程技术规范》（GB51174）
1. 节能环保产业,1.7资源循环利用,1.7.7农业废弃物资源化利用,包括农作物秸秆、畜禽粪污、尾菜、农产品初加工剩余物等农业废弃物的资源化利用。工艺、产品等需符合相关国家标准。,《）
1. 节能环保产业,1.7资源循环利用,1.7.8城镇污水处理厂污泥综合利用,对城镇污水处理厂污泥处置并实现资源综合利用，包括土地利用（土地改良、园林绿化、林用、农用等）、焚烧发电（供热、热电联产）、建材利用以及其他方式实现污泥的资源回收综合利用。综合利用的污泥产品应当能达到《农用污泥中污染物控制标准》（GB4284）、《城镇污水处理厂污泥处置土地改良用泥质》（GB/T24600）、《城镇污水处理厂污泥处置园林绿化用泥质》（GB/T23486）、《城镇污水处理厂污泥处置制砖用泥质》（GB/T25031）、《城镇污水处理厂污泥处置单独焚烧用泥质》（GB/T24602）等国家标准或地方标准。,《农用污泥中污染物控制标准》（GB4284）&《城镇污水处理厂污泥处置土地改良用泥质》（GB/T24600）&《城镇污水处理厂污泥处置园林绿化用泥质》（GB/T23486）&《城镇污水处理厂污泥处置制砖用泥质》（GB/T25031）&《城镇污水处理厂污泥处置单独焚烧用泥质》（GB/T24602）
2. 清洁生产产业,2.1产业园区绿色升级,2.1.1园区产业链接循环化改造,包括电力、钢铁、有色金属、石油石化、化学工业、建材行业、造纸行业、纺织行业、农牧业等行业，以本行业企业为基础建立跨行业产业链接，实现废弃物最小化或能源梯级利用。需符合《工业园区循环经济管理通则》（GB/T31088）、《工业园区循环经济评价规范》（GB/T33567）、《工业企业和园区循环经济标准体系编制通则》（GB/T33751）等标准。,《工业园区循环经济管理通则》（GB/T31088）&《工业园区循环经济评价规范》（GB/T33567）&《工业企业和园区循环经济标准体系编制通则》（GB/T33751）
2. 清洁生产产业,2.1产业园区绿色升级,2.1.2园区资源利用高效化改造,包括共伴生矿及尾矿、工业固体废物、道路和建筑废物综合利用以及非常规水源利用、煤系共伴生高岭土综合利用、铝矾土综合利用工程和煤层气综合利用、煤矸石综合利用、矿井水综合利用、黑色和有色金属共伴生矿及尾矿有价组分提取和综合利用、赤泥综合利用、高铝粉煤灰综合利用、冶炼废渣综合利用、化工废渣综合利用、工业副产石膏综合利用、海水淡化、雨水收集利用和再生水利用等。,《）
2. 清洁生产产业,2.1产业园区绿色升级,2.1.3园区污染治理集中化改造,包括园区污染物集中治理设施建设及升级改造、废弃可再生资源（如废钢铁、废有色金属、废塑料、废橡胶）集中拆解处理和集中污染治理、园区公共基础设施（如供水、供电、供热、道路、通信等）改造等。需符合《城镇污水处理厂污染物排放标准》（GB18918）和当地生态环境保护主管部门制定的地方标准。,《城镇污水处理厂污染物排放标准》（GB18918）
2. 清洁生产产业,2.1产业园区绿色升级,2.1.4园区重点行业清洁生产改造,包括钢铁园区清洁生产改造、化工园区清洁生产改造、石油石化园区清洁生产改造、有色金属园区清洁生产改造等。需符合《钢铁行业清洁生产评价指标体系》、《氮肥行业清洁生产评价指标体系（试行）》、《烧碱/聚氯乙烯行业清洁生产评价指标体系（试行）》、《铝行业清洁生产评价指标体系（试行）》、《铅锌行业清洁生产评价指标体系（试行）》等国家标准要求。,《）
2. 清洁生产产业,2.2无毒无害原料替代使用与危险废物治理,2.2.1无毒无害原料生产与替代使用,在电器电子、汽车、涂料、家具、印刷、汽车制造涂装、橡胶制品、皮革、制鞋等重点行业使用无毒无害或低毒低害原料对重金属替代和有机污染物等有毒有害物质进行替代，包括《国家鼓励的有毒有害原料（产品）替代品目录》所列替代品的生产和使用。,《）
2. 清洁生产产业,2.2无毒无害原料替代使用与危险废物治理,2.2.2危险废物处理处置,包括《国家危险废物名录》所包括的医疗废物、医药废物、废药物药品、农药废物、木材防腐剂废物、有机溶剂废物、热处理含氰废物、废矿物油等。需符合《危险废物贮存污染控制标准》（GB18597）、《危险废物焚烧污染控制标准》（GB18484）、《危险废物填埋污染控制标准》（GB18598）、《含氰废水处理处置规范》（GB/T32123）、《危险废物处置工程技术导则》（HJ2042）等国家标准和行业标准。,《国家危险废物名录》所包括的医疗废物、医药废物、废药物药品、农药废物、木材防腐剂废物、有机溶剂废物、热处理含氰废物、废矿物油等。需符合《危险废物贮存污染控制标准》（GB18597）&《危险废物焚烧污染控制标准》（GB18484）&《危险废物填埋污染控制标准》（GB18598）&《含氰废水处理处置规范》（GB/T32123）&《危险废物处置工程技术导则》（HJ2042）
2. 清洁生产产业,2.2无毒无害原料替代使用与危险废物治理,2.2.3危险废物运输,包括《国家危险废物名录》所涉及废弃物的运输。运输过程要符合《危险货物运输包装通用技术条件》（GB12463）、《危险废物收集、贮存、运输技术规范》（HJ2025）等国家标准和行业标准。,《国家危险废物名录》所涉及废弃物的运输。运输过程要符合《危险货物运输包装通用技术条件》（GB12463）&《危险废物收集、贮存、运输技术规范》（HJ2025）
2. 清洁生产产业,2.2无毒无害原料替代使用与危险废物治理,2.2.4高效低毒低残留农药生产与替代,包括低毒低残留农药制造生产工艺改造升级、高毒高风险农药替代、高效低毒低残留的环境友好型农药研发生产等。高效低毒低残留农药需符合《种植业生产使用低毒低残留农药主要品种名录（2016）》等国家和行业优先支持的农药品种。,《种植业生产使用低毒低残留农药主要品种名录（2016）
2. 清洁生产产业,2.3生产过程废气处理处置及资源化综合利用,2.3.1工业脱硫脱硝除尘改造,包括燃煤锅炉脱硫脱硝除尘改造、钢铁行业烧结机脱硫改造、水泥行业脱硝改造等。改造后大气污染物排放符合《锅炉大气污染物排放标准》（GB13271）、《钢铁烧结、球团工业大气污染物排放标准》（GB28662）、《水泥工业大气污染物排放标准》（GB4915）等相关行业的国家标准。,《锅炉大气污染物排放标准》（GB13271）&《钢铁烧结、球团工业大气污染物排放标准》（GB28662）&《水泥工业大气污染物排放标准》（GB4915）
2. 清洁生产产业,2.3生产过程废气处理处置及资源化综合利用,2.3.2燃煤电厂超低排放改造,包括脱硫、脱硝、烟尘超低排放改造、超低排放控制系统优化等燃煤发电机组超低排放改造。需符合《煤电节能减排升级与改造行动计划（2014-2020年）》（发改能源〔2014〕2093号）、《全面实施燃煤电厂超低排放和节能改造工作方案》（环发〔2015〕164号）中超低排放标准及其他相关要求。,《）
2. 清洁生产产业,2.3生产过程废气处理处置及资源化综合利用,2.3.3挥发性有机物综合整治,包括石化企业挥发性有机物治理、有机化工园区综合整治、医药化工园区综合整治和煤化工基地挥发性有机物综合整治、油气运输储备系统（如加油站、油罐车、储油库）油气回收及综合治理、工业涂装和包装印刷行业挥发性有机物综合整治等。需符合国家和地方有关挥发性有机物的排放标准。,《）
2. 清洁生产产业,2.3生产过程废气处理处置及资源化综合利用,2.3.4钢铁企业超低排放改造,包括钢铁生产工艺脱硫脱硝设施升级改造、加装低氮燃烧设备、加装高效除尘设施、生产车间和出渣处理设备封闭改造、酚氰废水处理设施升级改造、设备和管线排放泄漏检测与修复等。,《）
2. 清洁生产产业,2.4生产过程节水和废水处理处置及资源化综合利用,2.4.1生产过程节水和水资源高效利用,包括工业冷却用水节水改造、热力和工艺用水节水改造、洗涤用水节水改造、建设循环用水系统、蒸汽冷凝水回收再利用、外排废水回用、非常规水资源利用、堵漏修复等。需符合《节水型产品通用技术条件》（GB/T18870）、《节水型卫生洁具》（GB/T31436）、《钢铁企业节水设计规范》（GB50506）、《节水型企业评价通则》（GB/T29725）、《节水灌溉工程技术规范》（GB/T50363）等国家标准。,《节水型产品通用技术条件》（GB/T18870）&《节水型卫生洁具》（GB/T31436）&《钢铁企业节水设计规范》（GB50506）&《节水型企业评价通则》（GB/T29725）&《节水灌溉工程技术规范》（GB/T50363）
2. 清洁生产产业,2.4生产过程节水和废水处理处置及资源化综合利用,2.4.2重点行业水污染治理,包括造纸、焦化、氮肥、有色金属、印染、农副食品加工、原料药制造、制革、农药、电镀等重点行业的清洁化改造。需符合所在行业的水污染物排放标准。,《）
2. 清洁生产产业,2.4生产过程节水和废水处理处置及资源化综合利用,2.4.3工业集聚区水污染集中治理,包括经济技术开发区、高新技术产业开发区、出口加工区等工业集聚区污水预处理系统建设、污水收集系统和污水集中处理基础设施的建设、施工和运营。集聚区工业废水排放必须达到国家和地方规定的园区水污染物排放标准。,《）
2. 清洁生产产业,2.4生产过程节水和废水处理处置及资源化综合利用,2.4.4畜禽养殖废弃物污染治理,包括畜禽养殖废弃物污染预防改造、清洁养殖与废弃物收集改造、废弃物无害化处理与综合利用、畜禽养殖废水处理、畜禽养殖空气污染防治、畜禽养殖二次污染防治等。需符合《畜禽规模养殖污染防治条例》和《畜禽养殖业污染物排放标准》（GB18596）等国家标准和条例。,《畜禽规模养殖污染防治条例》和《畜禽养殖业污染物排放标准》（GB18596）
2. 清洁生产产业,2.5生产过程废渣处理处置及资源化综合利用,2.5.1工业固体废弃物无害化处理处置及综合利用,主要包括粉煤灰、冶炼渣、工业副产石膏、赤泥、化工废渣等工业固体废弃物的回收、无害化处理和再利用。要符合《工业固体废物综合利用技术评价导则》（GB/T32326）、《工业固体废物综合利用产品环境与质量安全评价技术导则》（GB/T32328）、《工业综合利用设备环境化设计导则》（GB/T31513）等国家标准和《资源综合利用产品和劳务增值税优惠目录》（财税〔2015〕78号）、《工业固体废物资源综合利用评价管理暂行办法》、《国家工业固体废物资源综合利用产品目录》的支持范围。,《工业固体废物综合利用技术评价导则》（GB/T32326）&《工业固体废物综合利用产品环境与质量安全评价技术导则》（GB/T32328）&《工业综合利用设备环境化设计导则》（GB/T31513）
2. 清洁生产产业,2.5生产过程废渣处理处置及资源化综合利用,2.5.2历史遗留尾矿库整治,包括历史遗留尾矿库的尾矿堆存系统改造、尾矿库排洪系统改造、尾矿库回水系统改造、高风险历史遗留重金属污染地块河道废渣污染修复治理等。符合《尾矿库环境风险评估技术导则（试行）》（HJ740）等国家或行业标准。,《尾矿库环境风险评估技术导则（试行）》（HJ740）
2. 清洁生产产业,2.5生产过程废渣处理处置及资源化综合利用,2.5.3包装废弃物回收处理,包括纸包装容器及材料、塑料包装容器及材料、金属包装容器及材料、玻璃包装容器、木包装容器及材料等包装废弃物的回收与处理。符合《包装废弃物的处理与利用通则》（GB/T16716）等国家标准。,《包装废弃物的处理与利用通则》（GB/T16716）
2. 清洁生产产业,2.5生产过程废渣处理处置及资源化综合利用,2.5.4废弃农膜回收利用,包括废旧农膜回收站点建设、废旧农膜机动收购站建设、废旧农膜运输和储存系统建设、废旧农膜用于生产再生颗粒、防水防漏材料、塑料编织袋、裂解油等设备的制造、采购和运营等。,《）
3. 清洁能源产业,3.1新能源与清洁能源装备制造,3.1.1风力发电装备制造,包括适合我国风能资源和气候条件、先进高效的陆上风力发电机组和海上风力发电机组，3兆瓦及以上海上和高原型、低温型、低风速风力发电机组配套的各类发电机、风轮叶片、轴承等零部件，风力发电电缆、变速箱、塔筒等零部件，风电场相关系统与装备等的制造。,《）
3. 清洁能源产业,3.1新能源与清洁能源装备制造,3.1.2太阳能发电装备制造,包括光伏发电设备和光热发电设备等的制造。光伏发电设备制造企业和项目需符合《光伏制造行业规范条件》要求，光伏电池生产需达到《光伏电池行业清洁生产评价指标体系》I级水平（国际清洁生产领先水平）。,《）
3. 清洁能源产业,3.1新能源与清洁能源装备制造,3.1.3生物质能利用装备制造,包括生物质资源收集、粉碎、运输和储存设备，生物质发电装备，生物质供热装备，生物质沼气、生物质燃气生产装备，生物质固液体燃料生产装备等的制造。,《）
3. 清洁能源产业,3.1新能源与清洁能源装备制造,3.1.4水力发电和抽水蓄能装备制造,包括高性能大容量水电机组、高水头大容量抽水蓄能机组成套设备、百万千瓦级大型水轮发电机组、变速抽水蓄能机组、超高水头大型冲击式水轮发电机组、海水抽水蓄能机组等的制造。,《）
3. 清洁能源产业,3.1新能源与清洁能源装备制造,3.1.5核电装备制造,包括百万千瓦级先进压水堆核电站成套设备，快中子堆和高温气冷堆核电站设备，模块化小型核能装置，核应急装置，核级海绵锆、核级泵、阀、百万千瓦级核电系列用管锆合金包壳管、换热管、核电用钛合金管道及其管配件和核动力蒸汽发生器传热管用特材等辅助设备，核电用防辐射材料，先进核电成套设备，铀地质、矿冶纯化转化、铀浓缩等设备，高性能燃料元件，铀钚混合氧化物燃料制备装置，先进乏燃料后处理装置，核辐射安全与监测装置，核设施退役与放射性废物处理和处置装置，铀、钍伴生矿综合利用设备等的制造。,《）
3. 清洁能源产业,3.1新能源与清洁能源装备制造,3.1.6非常规油气勘查开采装备制造,包括百万道级地震采集系统、多维高精度成像测井系统、深井自动化钻机、旋转导向钻井系统、深井超深井连续管作业装备、国产水下生产系统、11000吨半潜式起重铺管船、页岩水平井快速钻井装备、长寿命耐油井下动力钻具、埋深超过3500米页岩储层水平井分段压裂装备、井钻井液及压裂返排液处理处置装备等的制造。,《）
3. 清洁能源产业,3.1新能源与清洁能源装备制造,3.1.7海洋油气开采装备制造,包括半潜式钻井平台、钻井船、自升式钻修井/作业平台、半潜式生产平台、浮式生产储卸装置、起重铺管船、大型起重船/浮吊、水下采油树、泄漏油应急处理装置等水下系统及作业装备等的制造。,《）
3. 清洁能源产业,3.1新能源与清洁能源装备制造,3.1.8智能电网产品和装备制造,包括智能变压器、整流器和电感器，先进电力电子装置，智能输配电及控制设备，特高压输电装备，抽水蓄能装备，新能源储能装备，充电设施，智能电网与新能源相关的控制类产品等的制造。,《）
3. 清洁能源产业,3.1新能源与清洁能源装备制造,3.1.9燃气轮机装备制造,包括重型燃气轮机制造、微型燃气轮机制造等，以及复杂结构陶瓷型芯、高强抗热冲击陶瓷模壳、大尺寸定向结晶或单晶叶片、大型涡轮盘、高精度转子、高耐用性轴承和密封设备、高强钢拉杆、高温高压燃烧器等核心部件制造。,《）
3. 清洁能源产业,3.1新能源与清洁能源装备制造,3.1.10燃料电池装备制造,包括质子交换膜燃料电池、直接甲醇燃料电池、碱性燃料电池、熔融碳酸燃料电池、磷酸燃料电池、固体氧化物燃料电池等的制造。,《）
3. 清洁能源产业,3.1新能源与清洁能源装备制造,3.1.11地热能开发利用装备制造,包括地源热泵系统、高温地热热泵系统、地热吸收式制冷系统、中低温地热发电系统、地热干燥及热水供应系统、地热防腐防垢关键设备制造等的制造。,《）
3. 清洁能源产业,3.1新能源与清洁能源装备制造,3.1.12海洋能开发利用装备制造,包括立轴定桨式水轮发电机组、轴伸贯流式水轮发电机组、竖井贯流式水轮发电机组、灯泡贯流式水轮发电机组、风车式潮流能水轮机、空心灌流式潮流能水轮机、导流罩式水平轴潮流能水轮机、竖轴潮流能水轮机、激荡水柱式波浪能发电系统、点头鸭式波浪能发电系统、摆式波浪能发电系统、阀式波浪能发电系统、楔形浮漂式波浪能发电系统、海洋温差发电系统、海洋盐差能发电系统等的制造。,《）
3. 清洁能源产业,3.2清洁能源设施建设和运营,3.2.1风力发电设施建设和运营,符合《风力发电场设计规范》（GB51096）、《风力发电工程施工与验收规范》（GB/T51121）、《风电场接入电力系统技术规定》（GB/T19963）、《大型风电场并网设计技术规范》（NB/T31003）等标准。,《风力发电场设计规范》（GB51096）&《风力发电工程施工与验收规范》（GB/T51121）&《风电场接入电力系统技术规定》（GB/T19963）&《大型风电场并网设计技术规范》（NB/T31003）
3. 清洁能源产业,3.2清洁能源设施建设和运营,3.2.2太阳能利用设施建设和运营,符合《光伏发电站设计规范》（GB50797）、《光伏发电系统接入配电网技术规定》（GB/T29319）、《独立光伏系统技术规范》（GB/T29196）、《光伏建筑一体化系统运行与维护规范》（JGJ/T264）等国家标准。太阳能光伏发电站、太阳能高温热发电站需满足如下限定条件：1）多晶硅电池组件光电转化效率≥16.0%，组件自项目投产运行之日起，一年内衰减率≤2.5%，之后年衰减率≤0.7%；2）单晶硅电池组件光电转化效率≥16.5%，组件自项目投产运行之日起，一年内衰减率≤3%，之后年衰减率≤0.7%；3）高倍聚光光伏组件光电转化效率≥28%，项目投产运行之日起，一年内衰减率≤2%，之后年衰减率≤0.5%，项目全生命周期内衰减率≤10%；4）硅基薄膜电池组件光电转化效率≥10%；铜铟镓硒（CIGS）薄膜电池组件光电转化效率≥14%；碲化镉（CdTe）薄膜电池组件光电转化效率≥14%；其他薄膜电池组件光电转化效率≥10%；5）多晶硅、单晶硅和薄膜电池项目全生命周期内衰减率≤20%。太阳能热利用需符合《家用太阳能热水系统能效限定值及能效等级》（GB26969）、《民用建筑太阳能热水系统应用技术标准》（GB50364）、《工业应用的太阳能热水系统技术规范》（GB/T30724）、《家用太阳能热水系统储水箱技术要求》（GB/T28746）、《太阳能供热采暖工程技术规范》（GB50495）等国家标准。,《光伏发电站设计规范》（GB50797）&《光伏发电系统接入配电网技术规定》（GB/T29319）&《独立光伏系统技术规范》（GB/T29196）&《光伏建筑一体化系统运行与维护规范》（JGJ/T264）&《家用太阳能热水系统能效限定值及能效等级》（GB26969）&《民用建筑太阳能热水系统应用技术标准》（GB50364）&《工业应用的太阳能热水系统技术规范》（GB/T30724）&《家用太阳能热水系统储水箱技术要求》（GB/T28746）&《太阳能供热采暖工程技术规范》（GB50495）
3. 清洁能源产业,3.2清洁能源设施建设和运营,3.2.3生物质能源利用设施建设和运营,包括以农林废弃物、城市生活垃圾为原料生产燃料乙醇、以地沟油为主生产生物柴油等生物质液体燃料。符合《秸秆发电厂设计规范》（GB50762）、《生物液体燃料工厂设计规范》（GB50957）、《生物液体燃料建设项目生产准备和生产过程管理标准》（NB/T13006）、《大中型沼气工程技术规范》（GB/T51063）、《生物质气化集中供气运行与管理规范标准》（NY/T2908）等国家标准。燃煤耦合生物质发电技改项目参照《关于燃煤耦合生物质发电技改试点项目建设通知》（国能发电力〔2018〕53号）执行。,《秸秆发电厂设计规范》（GB50762）&《生物液体燃料工厂设计规范》（GB50957）&《生物液体燃料建设项目生产准备和生产过程管理标准》（NB/T13006）&《大中型沼气工程技术规范》（GB/T51063）&《生物质气化集中供气运行与管理规范标准》（NY/T2908）
3. 清洁能源产业,3.2清洁能源设施建设和运营,3.2.4大型水力发电设施建设和运营,仅含《“十三五”可再生能源规划》中明确的重点大型水电基地建设，包括金沙江流域白鹤滩、叶巴滩、拉哇、巴塘、金沙、昌波、波罗、岗托、旭龙、奔子栏、龙盘、银江等项目；雅砻江流域牙根一级、孟底沟、卡拉、牙根二级、楞古等项目；大渡河流域金川、巴底、硬梁包、枕头坝二级、沙坪一级、安宁、丹巴等项目；黄河玛尔挡、羊曲、茨哈峡、宁木特等项目；以及林芝、白马阿青、忠玉、康工、扎拉等区域重点项目。,《）
3. 清洁能源产业,3.2清洁能源设施建设和运营,3.2.5核电站建设和运营,符合《核电工程施工质量保证规定》（NB/T20120）、《压水堆核电厂反应堆系统设计总要求》（NB/T20285）、《核电厂常规岛及辅助配套设施建设施工技术规范》（NB/T25043.1）、《核电厂常规岛及辅助配套设施建设施工验收规程》（NB/T25044.1）等行业标准。,《核电工程施工质量保证规定》（NB/T20120）&《压水堆核电厂反应堆系统设计总要求》（NB/T20285）&《核电厂常规岛及辅助配套设施建设施工技术规范》（NB/T25043.1）&《核电厂常规岛及辅助配套设施建设施工验收规程》（NB/T25044.1）
3. 清洁能源产业,3.2清洁能源设施建设和运营,3.2.6煤层气（煤矿瓦斯）抽采利用设施建设和运营,包括煤层气开采设备、井下瓦斯抽采、煤层气输配管网铺设、煤层气储存设施建设、煤层气发电系统等。符合《民用煤层气（煤矿瓦斯）》（GB26569）、《煤层气（煤矿瓦斯）利用导则》（GB/T28754）等国家标准。,《民用煤层气（煤矿瓦斯）》（GB26569）&《煤层气（煤矿瓦斯）利用导则》（GB/T28754）
3. 清洁能源产业,3.2清洁能源设施建设和运营,3.2.7地热能利用设施建设和运营,包括水热型地热供暖、浅层地热能利用、地热发电工程等的建设和运营。,《）
3. 清洁能源产业,3.2清洁能源设施建设和运营,3.2.8海洋能利用设施建设和运营,包括潮汐能发电系统、波浪能发电系统、海流能发电系统、海洋温差发电系统、海洋盐差发电系统等的建设和运营。,《）
3. 清洁能源产业,3.2清洁能源设施建设和运营,3.2.9氢能利用设施建设和运营,包括氢气安全高效储存、氢能储存与转换、氢燃料电池运行维护、氢燃料汽车、氢燃料电池汽车、氢燃料电池发电、氢掺入天然气管道等设施的建设和运营。,《）
3. 清洁能源产业,3.2清洁能源设施建设和运营,3.2.10热泵建设和运营,包括空气源热泵、地下水源热泵、地表水源热泵、污水源热泵、土壤源热泵、高温空气能热泵等系统的建设和运营。,《）
3. 清洁能源产业,3.3传统能源清洁高效利用,3.3.1清洁燃油生产,指生产合规燃油，重劣质原油、煤焦油加工技术装备，人工智能技术炼化产业应用等。符合国VI汽油标准的汽油产品、符合国VI柴油标准的柴油产品，以及燃油清净增效剂生产。,《）
3. 清洁能源产业,3.3传统能源清洁高效利用,3.3.2煤炭清洁利用,符合《发展改革委工业信息化部关于印发<现代煤化工产业创新发展布局方案>的通知》（发改产业〔2017〕553号）、《国家能源局关于印发<煤炭深加工产业示范“十三五”规划>的通知》（国能科技〔2017〕43号）、国家能源局《关于促进煤炭安全绿色开发和清洁高效利用的意见》（国能煤炭〔2014〕571号）、《煤炭清洁高效利用行动计划（2015-2020年）》（国能煤炭〔2015〕141号）等文件要求，符合《工业窑炉用清洁燃料型煤》（GB/T31861）等国家标准。,《发展改革委工业信息化部关于印发<现代煤化工产业创新发展布局方案>的通知》（发改产业〔2017〕553号）、《国家能源局关于印发<煤炭深加工产业示范“十三五”规划>的通知》（国能科技〔2017〕43号）、国家能源局《关于促进煤炭安全绿色开发和清洁高效利用的意见》（国能煤炭〔2014〕571号）、《煤炭清洁高效利用行动计划（2015-2020年）》（国能煤炭〔2015〕141号）等文件要求，符合《工业窑炉用清洁燃料型煤》（GB/T31861）
3. 清洁能源产业,3.3传统能源清洁高效利用,3.3.3煤炭清洁生产,指在煤炭生产过程中利用智能化装备和绿色开采技术，减少生态环境损害和破坏；加大煤炭洗选加工力度，提高商品煤煤质质量。需符合国家能源局《煤炭工业发展“十三五”规划》、《商品煤质量管理暂行办法》（发展改革委等六部门令第16号）、《关于促进煤炭安全绿色开发和清洁高效利用的意见》（国能煤炭〔2014〕571号）和《煤炭清洁高效利用行动计划（2015-2020年）》（国能煤炭〔2014〕141号）。,《）
3. 清洁能源产业,3.4能源系统高效运行,3.4.1多能互补工程建设和运营,需符合国家发展改革委、国家能源局发布的《关于推进多能互补集成优化示范工程建设的实施意见》（发改能源〔2016〕1430号）的要求。,《）
3. 清洁能源产业,3.4能源系统高效运行,3.4.2高效储能设施建设和运营,需符合《电化学储能电站设计规范》（GB51048）、《储能用铅酸蓄电池》（GB/T22473）等国家标准。,《电化学储能电站设计规范》（GB51048）&《储能用铅酸蓄电池》（GB/T22473）
3. 清洁能源产业,3.4能源系统高效运行,3.4.3智能电网建设和运营,需符合《智能电网用户端通信系统一般要求》（GB/Z32501）、《智能电网调度控制系统总体框架》（GB∕T33607）等国家标准和行业标准。,《智能电网用户端通信系统一般要求》（GB/Z32501）&《智能电网调度控制系统总体框架》（GB∕T33607）
3. 清洁能源产业,3.4能源系统高效运行,3.4.4燃煤发电机组调峰灵活性改造工程和运营,参照国家能源局火电灵活性改造试点项目（国能综电力〔2016〕397号、国能综电力〔2016〕474号）有关标准开展工程建设和运营的项目。,《）
3. 清洁能源产业,3.4能源系统高效运行,3.4.5天然气输送储运调峰设施建设和运营,符合《城镇燃气设计规范》（GB50028）、《城镇燃气规划规范》（GB/T51098）、《液态天然气（LNG）生产、储存和装运》（GB/T20368）等国家标准。,《城镇燃气设计规范》（GB50028）&《城镇燃气规划规范》（GB/T51098）&《液态天然气（LNG）生产、储存和装运》（GB/T20368）
3. 清洁能源产业,3.4能源系统高效运行,3.4.6分布式能源工程建设和运营,包括天然气热电冷三联供、分布式再生能源发电、地热能供暖制冷等分布式能源工程。,《）
3. 清洁能源产业,3.4能源系统高效运行,3.4.7抽水蓄能电站建设和运营,符合《抽水蓄能电站水能规划设计规范》（NB/T35071）、《抽水蓄能电站选点规划编制规范》（NB/T35009）等行业标准。,《抽水蓄能电站水能规划设计规范》（NB/T35071）&《抽水蓄能电站选点规划编制规范》（NB/T35009）
